MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,AgeSold,LayoutType,TotalBaths,Total_sqft
RL,50.0,8012,SawyerW,TwnhsE,1Story,6,1992,Plywood,ImStucc,None,Gd,PConc,Gd,TA,No,430,1145,1575,Gd,Y,1575,0,1575,1,2,Gd,5,0,Attchd,1992.0,RFn,2,529,0,0,179200,15,Few Rooms,2.0,4725
FV,35.0,4251,Somerst,TwnhsE,2Story,7,2007,MetalSd,MetalSd,None,Gd,PConc,Gd,TA,No,0,625,625,Ex,Y,625,625,1250,0,2,Gd,5,0,Detchd,2006.0,RFn,2,528,0,54,164700,1,Few Rooms,2.5,3125
RL,77.0,9786,NAmes,1Fam,1.5Fin,6,1981,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,No,600,312,912,TA,Y,1085,649,1734,0,3,Gd,7,1,Attchd,1962.0,RFn,2,440,0,0,159000,44,Typical Layout,1.5,4380
RL,79.0,8125,NAmes,1Fam,1Story,4,1971,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,614,244,858,TA,Y,858,0,858,0,3,TA,5,0,None,1970.0,None,0,0,0,0,88000,35,Few Rooms,1.0,2574
RL,60.0,9819,Sawyer,1Fam,1Story,5,1967,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,TA,No,450,432,882,TA,Y,900,0,900,0,3,TA,5,0,Detchd,1970.0,Unf,1,280,0,0,122000,43,Few Rooms,1.0,2682
RL,60.0,8730,BrkSide,1Fam,2Story,6,2003,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,TA,No,0,698,698,Ex,Y,698,698,1396,0,3,TA,7,0,Detchd,2003.0,Unf,1,384,0,0,153575,92,Typical Layout,1.0,3490
RL,120.0,15611,CollgCr,1Fam,2Story,8,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,Av,0,1079,1079,Ex,Y,1079,840,1919,0,3,Gd,8,1,Attchd,2006.0,RFn,2,685,0,51,233230,0,Typical Layout,2.5,4917
RL,55.0,5687,SWISU,2fmCon,2Story,5,2000,VinylSd,VinylSd,None,TA,PConc,TA,Fa,No,210,570,780,Ex,N,936,780,1716,1,6,Fa,9,0,None,1949.0,None,0,0,0,184,135900,96,Many Rooms,2.0,4212
RL,60.0,11409,Edwards,1Fam,1.5Fin,5,2008,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,No,292,476,768,Gd,Y,1148,568,1716,0,3,TA,8,1,Attchd,1949.0,Unf,1,281,0,0,131000,60,Typical Layout,1.5,4200
RL,80.0,16659,NWAmes,1Fam,2Story,7,1994,Plywood,Plywood,BrkFace,TA,CBlock,TA,TA,No,795,0,795,Fa,Y,1468,795,2263,1,3,Gd,9,1,Attchd,1977.0,Fin,2,539,0,250,235000,29,Many Rooms,2.5,5321
RL,80.0,9600,NAmes,1Fam,1Story,6,1953,HdBoard,HdBoard,Stone,TA,CBlock,TA,TA,No,1285,131,1416,TA,Y,1644,0,1644,1,3,TA,7,2,Attchd,1953.0,Fin,2,418,110,0,167000,56,Typical Layout,1.0,4704
RL,37.0,7937,Mitchel,1Fam,SLvl,6,1984,HdBoard,HdBoard,None,TA,CBlock,TA,TA,Av,819,184,1003,TA,Y,1003,0,1003,1,3,TA,6,0,Detchd,1984.0,Unf,2,588,120,0,142500,22,Typical Layout,1.0,3009
RM,75.0,13710,IDOTRR,1Fam,1.5Fin,5,1950,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,No,420,490,910,TA,Y,910,648,1558,0,4,TA,6,0,Attchd,1950.0,Unf,1,282,289,0,152000,57,Typical Layout,1.5,4026
FV,66.0,7399,Somerst,1Fam,2Story,7,1998,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,No,649,326,975,Ex,Y,975,975,1950,0,3,Gd,7,1,Detchd,1997.0,RFn,2,576,0,10,239000,10,Typical Layout,2.5,4875
RL,90.0,11700,NWAmes,1Fam,2Story,6,1968,HdBoard,AsphShn,BrkFace,Gd,CBlock,TA,TA,No,384,143,702,Gd,Y,1041,702,1743,0,3,TA,7,1,Attchd,1968.0,Unf,2,539,224,0,175000,39,Typical Layout,2.0,4188
RL,80.0,14000,Crawfor,1Fam,1Story,6,2004,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,0,1092,1092,Ex,Y,1152,0,1152,0,3,Gd,6,1,Attchd,1950.0,Unf,1,300,0,36,158500,59,Typical Layout,1.0,3396
RL,90.0,15750,Crawfor,2fmCon,1Story,5,1953,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,TA,Mn,841,324,1165,TA,Y,1336,0,1336,1,2,TA,5,2,Attchd,1953.0,Unf,1,375,0,0,157000,53,Few Rooms,1.0,3837
RL,66.0,16226,CollgCr,1Fam,2Story,8,1999,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,No,281,747,1028,Ex,Y,1210,1242,2452,0,4,Gd,9,1,BuiltIn,1998.0,Fin,2,683,208,50,267000,9,Many Rooms,2.5,5932
RL,118.0,13704,CollgCr,1Fam,1Story,7,2002,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,No,0,1541,1541,Ex,Y,1541,0,1541,0,3,Gd,6,1,Attchd,2001.0,RFn,3,843,468,81,205000,5,Typical Layout,2.0,4623
RL,70.0,9800,CollgCr,1Fam,1Story,5,1972,VinylSd,VinylSd,None,TA,PConc,TA,TA,No,894,0,894,TA,Y,894,0,894,1,3,TA,5,0,Attchd,1975.0,Unf,2,552,256,0,149900,34,Few Rooms,1.0,2682
RM,87.0,18386,OldTown,1Fam,2.5Fin,7,2002,CemntBd,CmentBd,None,TA,BrkTil,TA,TA,No,0,1470,1470,Ex,Y,1675,1818,3493,0,3,Gd,10,1,Attchd,2003.0,Unf,3,870,302,0,295000,128,Many Rooms,3.0,8456
RL,80.0,10386,CollgCr,1Fam,1Story,8,2005,CemntBd,CmentBd,Stone,Gd,PConc,Gd,TA,No,1464,536,2000,Ex,Y,2000,0,2000,1,3,Gd,8,0,Attchd,2004.0,Fin,3,888,168,0,305900,3,Typical Layout,2.0,6000
RL,116.0,13474,SawyerW,1Fam,2Story,7,1991,HdBoard,Plywood,BrkFace,Gd,CBlock,Gd,TA,No,700,0,700,Gd,Y,1122,1121,2243,1,4,Gd,8,1,Attchd,1990.0,RFn,3,746,127,44,225000,17,Typical Layout,2.5,5186
RM,60.0,7920,IDOTRR,1Fam,1.5Fin,6,1950,MetalSd,MetalSd,None,TA,CBlock,TA,TA,No,0,319,319,TA,Y,1035,371,1406,0,3,Fa,6,0,None,1961.0,None,0,0,0,144,89500,88,Typical Layout,1.0,3131
RL,90.0,12342,Edwards,1Fam,1Story,4,1950,VinylSd,VinylSd,None,TA,CBlock,TA,TA,No,262,599,861,Ex,Y,861,0,861,0,1,TA,4,0,Detchd,1961.0,Unf,2,539,158,0,82500,69,Few Rooms,1.0,2583
RL,90.0,12378,NridgHt,1Fam,1Story,9,2004,VinylSd,VinylSd,None,Gd,PConc,Ex,TA,Gd,1274,622,1896,Ex,Y,1944,0,1944,1,3,Ex,8,3,Attchd,2003.0,Fin,3,708,208,175,360000,3,Typical Layout,2.0,5784
RL,50.0,7685,Gilbert,1Fam,2Story,6,1994,HdBoard,HdBoard,BrkFace,TA,PConc,Gd,TA,No,518,179,697,Gd,Y,697,804,1501,0,3,Gd,6,1,Attchd,1993.0,Fin,2,420,190,63,165600,13,Typical Layout,2.5,3699
RL,50.0,8000,NAmes,1Fam,1Story,6,2002,VinylSd,VinylSd,None,TA,CBlock,TA,TA,No,680,292,972,Ex,Y,972,0,972,1,2,TA,5,1,Detchd,1948.0,Unf,1,240,0,0,132000,61,Few Rooms,1.0,2916
RM,65.0,7800,OldTown,2fmCon,1.5Fin,5,1950,MetalSd,MetalSd,None,TA,CBlock,Gd,TA,Mn,507,286,793,TA,Y,793,325,1118,1,3,TA,5,1,Detchd,1939.0,Unf,2,410,0,0,119900,67,Few Rooms,1.0,3029
RL,150.0,215245,Timber,1Fam,1Story,7,1965,BrkFace,BrkFace,None,TA,CBlock,Gd,TA,Gd,1236,80,2136,TA,Y,2036,0,2036,2,3,TA,8,2,Attchd,1965.0,RFn,2,513,0,0,375000,44,Typical Layout,2.0,6208
RM,60.0,9600,OldTown,1Fam,2Story,7,1990,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,Gd,No,16,712,728,Ex,Y,832,809,1641,0,3,Ex,6,1,Detchd,1925.0,Unf,2,546,0,0,178000,81,Typical Layout,1.5,4010
RL,71.0,7795,Gilbert,1Fam,2Story,7,2005,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,No,425,291,716,Ex,Y,716,716,1432,1,3,Gd,6,1,Attchd,2004.0,Fin,2,432,100,51,188500,5,Typical Layout,2.5,3580
RL,94.0,13005,NWAmes,1Fam,2Story,7,1980,CemntBd,CmentBd,BrkFace,Gd,CBlock,Gd,TA,No,692,153,845,TA,Y,1153,1200,2353,1,4,Ex,10,1,Attchd,1983.0,RFn,2,484,288,195,260000,29,Many Rooms,2.5,5551
FV,75.0,9000,Somerst,1Fam,2Story,8,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,Av,0,1088,1088,Ex,Y,1088,871,1959,0,3,Gd,8,1,Attchd,2006.0,RFn,3,1025,208,46,270000,1,Typical Layout,2.5,5006
RL,90.0,9900,NoRidge,1Fam,2Story,7,1993,HdBoard,HdBoard,BrkFace,Gd,PConc,Gd,TA,Gd,987,360,1347,Ex,Y,1372,1274,2646,1,4,Gd,9,1,Attchd,1993.0,RFn,3,656,340,60,260000,16,Many Rooms,2.5,6639
RL,111.0,14115,NWAmes,1Fam,SLvl,7,1980,Plywood,Plywood,BrkFace,TA,CBlock,Gd,TA,Av,1036,336,1372,TA,Y,1472,0,1472,1,3,TA,6,2,Attchd,1980.0,Unf,2,588,233,48,187500,29,Typical Layout,2.0,4316
RL,111.0,16259,NridgHt,1Fam,2Story,9,2006,VinylSd,VinylSd,Stone,TA,PConc,Ex,Gd,Av,0,1249,1249,Ex,Y,1249,1347,2596,0,4,Gd,9,0,Attchd,2006.0,RFn,3,840,240,154,342643,0,Many Rooms,3.5,6441
RL,99.0,12099,NridgHt,1Fam,2Story,8,2004,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,TA,Av,970,166,1136,Ex,Y,1136,1332,2468,1,4,Gd,10,1,BuiltIn,2004.0,Fin,3,872,184,154,354000,3,Many Rooms,2.5,6072
RL,86.0,10380,SawyerW,1Fam,2Story,7,1987,Plywood,Plywood,BrkFace,Gd,CBlock,TA,TA,Gd,28,0,1502,Ex,Y,1553,1177,2730,1,4,Gd,8,1,Attchd,1987.0,Fin,2,576,201,96,301000,21,Typical Layout,2.5,6962
RM,49.0,5820,OldTown,1Fam,1Story,3,2005,VinylSd,VinylSd,None,TA,CBlock,TA,TA,No,256,906,1162,Ex,Y,1163,0,1163,1,3,TA,6,0,Attchd,1955.0,Unf,1,220,142,98,126175,51,Typical Layout,1.0,3488
RL,96.0,11275,NAmes,1Fam,SLvl,7,2007,Wd Sdng,Wd Sdng,BrkFace,Gd,CBlock,Gd,TA,No,0,710,710,Ex,Y,1898,1080,2978,0,5,Gd,11,1,BuiltIn,1961.0,Fin,2,564,240,0,242000,43,Many Rooms,2.5,6666
RM,50.0,5000,IDOTRR,1Fam,1.5Unf,5,1950,MetalSd,MetalSd,None,TA,CBlock,TA,TA,Av,116,604,720,Po,N,803,0,803,0,2,TA,5,0,Detchd,1941.0,Unf,2,360,0,0,87000,66,Few Rooms,1.0,2326
RL,32.0,10846,Veenker,TwnhsE,1Story,8,1993,BrkFace,BrkFace,None,Gd,PConc,Gd,TA,Gd,1619,100,1719,Ex,Y,1719,0,1719,2,1,Gd,6,2,Attchd,1993.0,Fin,2,473,122,30,324000,15,Typical Layout,1.5,5157
RL,80.0,11600,NAmes,1Fam,1Story,6,1960,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,565,818,1383,TA,Y,1383,0,1383,0,3,TA,7,0,Attchd,1960.0,RFn,1,292,0,45,145250,46,Typical Layout,1.5,4149
RL,60.0,11888,BrkSide,1Fam,2.5Unf,6,1994,Wd Sdng,Wd Shng,None,TA,BrkTil,TA,TA,No,0,844,844,Gd,N,1445,689,2134,0,5,Gd,10,0,Detchd,1930.0,Unf,2,441,0,60,214500,93,Many Rooms,2.0,5112
RM,60.0,6402,IDOTRR,1Fam,2Story,5,1950,Wd Sdng,Wd Shng,None,TA,PConc,TA,TA,Mn,0,596,596,TA,N,596,596,1192,0,3,TA,6,0,Detchd,1920.0,Unf,1,189,0,0,78000,89,Typical Layout,1.0,2980
RL,70.0,10624,NAmes,Duplex,1Story,5,1964,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,TA,No,40,1424,1728,TA,Y,1728,0,1728,0,6,TA,10,0,Detchd,2002.0,Unf,1,352,155,0,119000,43,Many Rooms,2.0,5184
RL,70.0,8176,NAmes,1Fam,1Story,5,1992,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,No,846,210,1056,Fa,Y,1056,0,1056,1,3,TA,6,0,Attchd,1958.0,RFn,1,308,0,0,139000,49,Typical Layout,1.0,3168
RL,85.0,10655,NridgHt,1Fam,1Story,8,2004,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,No,1124,1603,3206,Ex,Y,1629,0,1629,1,3,Gd,7,1,Attchd,2003.0,RFn,3,880,0,0,284000,6,Typical Layout,2.0,6464
RM,59.0,8198,NridgHt,TwnhsE,1Story,7,2004,VinylSd,VinylSd,Stone,Gd,PConc,Gd,TA,Av,720,638,1358,Ex,Y,1358,0,1358,1,2,Gd,6,1,Attchd,2004.0,RFn,2,484,192,30,207000,4,Typical Layout,2.0,4074
RL,59.0,9042,Gilbert,1Fam,2Story,6,1998,VinylSd,VinylSd,None,TA,PConc,Gd,TA,Gd,828,115,943,Gd,Y,943,695,1638,1,3,TA,7,2,Attchd,1998.0,Fin,2,472,100,38,192000,10,Typical Layout,2.5,4219
RL,86.0,164660,Timber,2fmCon,1.5Fin,5,1965,Plywood,Plywood,None,TA,CBlock,TA,TA,Gd,1249,103,1499,Ex,Y,1619,167,1786,2,3,TA,7,2,Attchd,1965.0,Fin,2,529,670,0,228950,43,Typical Layout,2.0,5071
RL,86.0,14157,StoneBr,1Fam,1Story,9,2006,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,Gd,1249,673,1922,Ex,Y,1922,0,1922,1,3,Gd,8,1,Attchd,2005.0,Fin,3,676,178,51,377426,2,Typical Layout,2.0,5766
RL,70.0,9135,CollgCr,1Fam,1Story,7,2003,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Av,810,726,1536,Ex,Y,1536,0,1536,1,3,Gd,7,0,Attchd,2002.0,RFn,2,532,192,74,214000,6,Typical Layout,2.0,4608
RL,91.0,14145,NWAmes,1Fam,1Story,7,1998,Wd Sdng,Wd Sdng,None,Gd,CBlock,Gd,TA,Mn,213,995,1208,Ex,Y,1621,0,1621,1,3,Gd,8,0,Attchd,1984.0,RFn,2,440,108,45,202500,22,Typical Layout,2.0,4450
RL,66.0,12400,NAmes,1Fam,1Story,6,1998,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,Fa,No,585,630,1215,TA,Y,1215,0,1215,0,3,TA,6,0,Attchd,1958.0,Unf,1,297,0,0,155000,51,Typical Layout,1.0,3645
RL,85.0,14191,Timber,1Fam,2Story,8,2002,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,No,0,967,967,Ex,Y,993,915,1908,0,4,Gd,9,0,Attchd,2002.0,Fin,2,431,135,0,202900,8,Many Rooms,2.5,4783
RH,60.0,8400,SawyerW,1Fam,1Story,4,1950,Wd Sdng,AsbShng,None,Fa,CBlock,TA,Fa,No,0,721,721,Gd,Y,841,0,841,0,2,TA,4,0,CarPort,1950.0,Unf,1,294,250,0,82000,59,Few Rooms,1.0,2403
RL,63.0,8544,NAmes,Duplex,1Story,3,1950,Stucco,Stucco,BrkFace,TA,Slab,None,None,None,0,0,0,Fa,N,1040,0,1040,0,2,TA,6,0,Detchd,1949.0,Unf,2,400,0,0,87500,57,Typical Layout,2.0,2080
RL,63.0,8849,NridgHt,TwnhsE,1Story,9,2005,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,TA,No,28,1656,1684,Ex,Y,1684,0,1684,0,2,Ex,6,1,Attchd,2005.0,RFn,2,564,495,72,266000,3,Typical Layout,2.0,5052
RM,36.0,2592,MeadowV,TwnhsE,2Story,5,1976,CemntBd,CmentBd,None,TA,CBlock,Gd,TA,No,129,175,536,TA,Y,536,576,1112,0,3,TA,4,0,Attchd,1976.0,Unf,1,336,182,0,85000,34,Few Rooms,1.5,2760
RL,65.0,6435,BrkSide,1Fam,1.5Fin,6,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,TA,No,0,972,972,Gd,Y,972,605,1577,0,3,Fa,6,1,Detchd,1939.0,Unf,1,312,0,0,140200,67,Typical Layout,1.0,4126
RL,52.0,12772,NAmes,1Fam,1Story,6,1998,MetalSd,MetalSd,None,TA,CBlock,TA,TA,Mn,498,460,958,TA,Y,958,0,958,0,2,TA,5,0,Attchd,1960.0,RFn,1,301,0,0,151500,47,Few Rooms,1.0,2874
RL,36.0,17600,NAmes,1Fam,1Story,6,1960,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,1270,208,1478,Ex,Y,1478,0,1478,1,3,TA,6,2,Attchd,1960.0,Unf,2,498,0,40,157500,49,Typical Layout,2.0,4434
RL,36.0,2448,NridgHt,Twnhs,2Story,7,2004,VinylSd,Wd Shng,Stone,Gd,PConc,Gd,TA,No,573,191,764,Ex,Y,764,862,1626,1,2,Gd,6,0,BuiltIn,2003.0,RFn,2,474,0,27,154000,5,Typical Layout,2.5,4016
RL,56.0,20431,NridgHt,1Fam,2Story,9,2006,CemntBd,CmentBd,BrkFace,Ex,PConc,Ex,TA,No,1410,438,1848,Ex,Y,1848,880,2728,1,4,Ex,10,2,Attchd,2006.0,Fin,3,706,0,0,437154,1,Many Rooms,2.5,7304
RL,68.0,7820,NridgHt,TwnhsE,1Story,9,2007,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,TA,No,0,1869,1869,Ex,Y,1869,0,1869,0,2,Ex,6,1,Attchd,2007.0,RFn,2,617,210,54,318061,0,Typical Layout,2.0,5607
RL,60.0,5271,ClearCr,1Fam,1Story,7,1986,Wd Sdng,Wd Sdng,None,TA,PConc,Gd,TA,Gd,1082,371,1453,Gd,Y,1453,0,1453,1,2,Gd,6,1,Attchd,1986.0,RFn,2,445,0,80,190000,20,Typical Layout,1.5,4359
RL,60.0,9084,Edwards,1Fam,1.5Fin,5,1950,VinylSd,VinylSd,None,TA,CBlock,TA,Fa,Mn,236,0,616,TA,N,616,495,1111,0,3,TA,5,0,Detchd,1941.0,Unf,1,200,48,0,95000,67,Few Rooms,1.0,2838
RM,60.0,8520,OldTown,1Fam,1Story,6,2003,VinylSd,VinylSd,None,TA,BrkTil,TA,TA,No,0,624,624,Gd,Y,720,0,720,0,2,TA,5,0,Detchd,2005.0,Unf,2,484,106,0,105900,82,Few Rooms,1.0,2064
RL,60.0,8400,SWISU,1Fam,1.5Fin,6,2000,Wd Sdng,MetalSd,None,TA,CBlock,TA,TA,No,388,552,940,Ex,Y,1192,403,1595,0,2,TA,6,2,Attchd,1940.0,Unf,1,240,0,0,140000,66,Typical Layout,1.0,4130
RL,105.0,11249,CollgCr,1Fam,1Story,6,1995,VinylSd,VinylSd,None,Gd,PConc,Gd,Gd,No,334,322,1200,Ex,Y,1200,0,1200,1,3,Gd,6,0,Attchd,1995.0,RFn,2,521,0,26,177500,12,Typical Layout,2.0,3600
RL,44.0,9248,Gilbert,1Fam,1Story,6,1992,HdBoard,HdBoard,BrkFace,TA,PConc,Gd,TA,No,560,598,1158,Gd,Y,1167,0,1167,1,3,Gd,6,0,Attchd,1992.0,RFn,2,400,120,26,173000,17,Typical Layout,2.0,3492
RM,44.0,4224,MeadowV,TwnhsE,1Story,5,1976,CemntBd,CmentBd,None,TA,PConc,Gd,TA,No,874,268,1142,TA,Y,1142,0,1142,1,3,TA,6,1,Attchd,1976.0,Fin,2,528,536,90,134000,31,Typical Layout,1.5,3426
RL,92.0,6930,ClearCr,1Fam,SLvl,5,1958,Wd Sdng,ImStucc,BrkFace,TA,CBlock,TA,TA,Av,300,468,1062,Ex,Y,1352,0,1352,0,3,Gd,6,0,BuiltIn,1958.0,Unf,1,288,168,0,130000,48,Typical Layout,1.0,3766
RL,78.0,12011,NoRidge,1Fam,2Story,8,1998,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Av,956,130,1086,Ex,Y,1086,838,1924,1,3,Gd,7,1,Attchd,1998.0,RFn,2,592,208,75,280000,8,Typical Layout,2.5,4934
RL,52.0,7540,Mitchel,1Fam,SFoyer,6,1978,VinylSd,VinylSd,None,TA,CBlock,Gd,TA,Av,773,115,888,Ex,Y,912,0,912,1,2,TA,5,1,Attchd,1978.0,RFn,2,470,0,0,156000,29,Few Rooms,1.0,2712
RL,64.0,9144,BrkSide,1Fam,1.5Fin,5,1982,MetalSd,MetalSd,None,TA,CBlock,TA,TA,No,399,484,883,Gd,Y,988,517,1505,1,3,TA,8,0,Detchd,1940.0,Unf,1,240,0,0,145000,68,Typical Layout,1.0,3893
RL,64.0,7301,Edwards,1Fam,SFoyer,7,2003,HdBoard,HdBoard,BrkFace,Gd,Slab,None,None,None,0,0,0,Ex,Y,495,1427,1922,0,4,Gd,7,1,BuiltIn,2003.0,RFn,2,672,0,0,198500,6,Typical Layout,3.0,3844
RM,21.0,1680,BrDale,Twnhs,2Story,6,2007,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,TA,No,162,321,483,Gd,Y,483,504,987,0,2,Gd,5,0,Detchd,1972.0,Unf,1,264,250,0,118000,37,Few Rooms,1.5,2457
RL,59.0,18800,NWAmes,1Fam,2Story,6,1976,HdBoard,HdBoard,BrkFace,TA,PConc,Gd,TA,Mn,712,84,796,TA,Y,790,784,1574,1,3,TA,6,1,Attchd,1976.0,Fin,2,566,306,111,190000,30,Typical Layout,2.5,3944
RM,59.0,10690,IDOTRR,1Fam,2Story,5,1997,VinylSd,VinylSd,None,TA,CBlock,TA,Fa,No,456,216,672,Gd,Y,672,672,1344,0,3,TA,6,0,Detchd,1964.0,Unf,1,468,0,128,147000,89,Typical Layout,1.0,3360
RL,101.0,9500,NAmes,1Fam,1Story,6,1963,Plywood,Plywood,BrkFace,TA,CBlock,Gd,TA,No,609,785,1394,Gd,Y,1394,0,1394,1,3,TA,6,2,Attchd,1963.0,RFn,2,514,0,76,159000,46,Typical Layout,1.5,4182
RL,101.0,9150,NAmes,1Fam,SLvl,6,1962,Plywood,Plywood,BrkFace,TA,CBlock,Gd,TA,Gd,371,728,1099,Gd,Y,1431,0,1431,0,3,TA,6,1,Basment,1962.0,RFn,1,296,64,110,165000,46,Typical Layout,1.0,3961
RL,78.0,7800,NAmes,1Fam,1Story,5,1954,HdBoard,HdBoard,BrkFace,TA,PConc,TA,TA,No,540,728,1268,Gd,Y,1268,0,1268,0,2,TA,7,1,Attchd,1954.0,Fin,1,244,0,98,132000,56,Typical Layout,1.0,3804
RL,68.0,9830,NAmes,1Fam,1Story,5,2006,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,No,72,733,1063,Ex,Y,1287,0,1287,1,3,Gd,7,1,Detchd,1997.0,Fin,2,576,364,17,162000,51,Typical Layout,1.0,3637
RL,80.0,8121,Gilbert,1Fam,2Story,6,2000,VinylSd,VinylSd,None,TA,PConc,Gd,TA,No,0,953,953,Ex,Y,953,711,1664,0,3,TA,7,1,Attchd,2000.0,RFn,2,460,100,40,172400,6,Typical Layout,2.5,4281
RL,80.0,17120,ClearCr,1Fam,1.5Fin,4,1959,WdShing,Plywood,None,TA,CBlock,None,None,None,0,0,0,TA,Y,1120,468,1588,0,4,TA,7,1,Detchd,1991.0,Fin,2,680,0,59,134432,49,Typical Layout,2.0,3176
RL,50.0,7175,SawyerW,TwnhsE,1Story,6,1984,Plywood,Plywood,None,TA,CBlock,Gd,TA,No,623,0,744,TA,Y,752,0,752,1,2,TA,4,0,Attchd,1984.0,Unf,1,264,353,0,125000,26,Few Rooms,1.0,2248
RL,79.0,10634,NAmes,1Fam,1Story,5,1953,MetalSd,MetalSd,None,TA,PConc,TA,TA,No,428,0,608,TA,Y,1319,0,1319,1,3,TA,5,0,Attchd,1953.0,Unf,1,270,66,0,123000,56,Few Rooms,1.0,3246
RL,65.0,8200,CollgCr,1Fam,2Story,7,2004,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,No,0,847,847,Ex,Y,847,1081,1928,0,4,Gd,8,1,BuiltIn,2003.0,Fin,2,434,100,48,219500,4,Typical Layout,2.5,4703
RL,57.0,10020,Edwards,1Fam,1Story,1,1950,Wd Sdng,Wd Sdng,None,Fa,BrkTil,Fa,Po,Gd,350,333,683,Gd,N,904,0,904,1,1,Fa,4,0,None,1998.0,None,0,0,0,0,61000,87,Few Rooms,0.5,2491
RL,57.0,8846,CollgCr,1Fam,SFoyer,5,1996,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,Av,298,572,870,Ex,Y,914,0,914,0,2,TA,5,0,Detchd,1998.0,Unf,2,576,0,0,148000,10,Few Rooms,1.0,2698
FV,102.0,11143,Somerst,1Fam,2Story,8,2005,CemntBd,CmentBd,None,Gd,PConc,Gd,TA,No,0,1580,1580,Ex,Y,1580,886,2466,0,4,Gd,8,1,Attchd,2004.0,RFn,2,610,159,214,340000,3,Typical Layout,3.0,6512
RL,88.0,11394,StoneBr,1Fam,1Story,9,2010,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,Av,1445,411,1856,Ex,Y,1856,0,1856,1,1,Ex,8,1,Attchd,2010.0,Fin,3,834,113,0,394432,0,Typical Layout,1.5,5568
RL,60.0,8123,Gilbert,1Fam,2Story,6,2000,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,TA,No,0,982,982,Ex,Y,1007,793,1800,0,3,TA,7,1,Attchd,2000.0,Fin,2,463,100,63,179000,9,Typical Layout,2.5,4582
RL,50.0,5000,SWISU,1Fam,1.5Fin,5,1950,BrkFace,Wd Sdng,None,TA,BrkTil,TA,TA,No,218,808,1026,TA,Y,1026,665,1691,0,3,Gd,6,1,Detchd,1924.0,Unf,1,308,0,0,127000,86,Typical Layout,2.0,4408
FV,60.0,7200,Somerst,1Fam,1Story,7,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,Gd,No,0,1293,1293,Ex,Y,1301,0,1301,1,2,Gd,5,1,Attchd,2006.0,RFn,2,572,216,121,187750,0,Few Rooms,2.0,3895
RL,79.0,9245,CollgCr,1Fam,2Story,7,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,Av,0,939,939,Ex,Y,939,858,1797,0,3,Gd,8,0,Attchd,2006.0,RFn,2,639,144,53,213500,1,Typical Layout,2.5,4533
